"gene_id","species","expression_id","id_type","source_info","gene_name","hog_id","og_id"
"CAGL0A03971g","glabrata","CAGL0A03971g","CAGL0","original","","N1.HOG0002745","OG0002505"
"CAGL0A03993g","glabrata","CAGL0A03993g","CAGL0","original","","N1.HOG0003820","OG0003581"
"CAGL0A04015g","glabrata","CAGL0A04015g","CAGL0","original","","N1.HOG0001532","OG0001292"
"CAGL0A04037g","glabrata","CAGL0A04037g","CAGL0","original","","N1.HOG0003208","OG0002968"
"CAGL0A04059g","glabrata","CAGL0A04059g","CAGL0","original","NMT1","N1.HOG0001895","OG0001655"
"CAGL0A04081g","glabrata","CAGL0A04081g","CAGL0","original","","N1.HOG0004454","OG0004218"
"CAGL0A04103g","glabrata","CAGL0A04103g","CAGL0","original","","N1.HOG0003042","OG0002802"
"CAGL0A04125g","glabrata","CAGL0A04125g","CAGL0","original","","N1.HOG0001552","OG0001312"
"CAGL0A04147g","glabrata","CAGL0A04147g","CAGL0","original","PEX13","N1.HOG0003019","OG0002779"
"CAGL0A04169g","glabrata","CAGL0A04169g","CAGL0","original","","N1.HOG0004819","OG0004587"
"CAGL0A04191g","glabrata","CAGL0A04191g","CAGL0","original","","N1.HOG0000666","OG0000440"
"CAGL0A04213g","glabrata","CAGL0A04213g","CAGL0","original","","N1.HOG0000722","OG0000493"
"CAGL0A04235g","glabrata","CAGL0A04235g","CAGL0","original","","N1.HOG0002009","OG0001769"
"CAGL0A04257g","glabrata","CAGL0A04257g","CAGL0","original","","N1.HOG0000654","OG0000430"
"CAGL0A04279g","glabrata","CAGL0A04279g","CAGL0","original","","N1.HOG0002119","OG0001879"
"CAGL0A04301g","glabrata","CAGL0A04301g","CAGL0","original","","N1.HOG0000649","OG0000425"
"CAGL0A04323g","glabrata","CAGL0A04323g","CAGL0","original","","N1.HOG0002423","OG0002183"
"CAGL0A04345g","glabrata","CAGL0A04345g","CAGL0","original","","N1.HOG0002114","OG0001874"
"CAGL0A04367g","glabrata","CAGL0A04367g","CAGL0","original","","N1.HOG0000974","OG0000737"
"CAGL0A04389g","glabrata","CAGL0A04389g","CAGL0","original","","N1.HOG0001397","OG0001157"
"CAGL0A04411g","glabrata","CAGL0A04411g","CAGL0","original","","N1.HOG0002436","OG0002196"
"CAGL0A04433g","glabrata","CAGL0A04433g","CAGL0","original","","N1.HOG0000568","OG0000349"
"CAGL0A04455g","glabrata","CAGL0A04455g","CAGL0","original","","N1.HOG0001888","OG0001648"
"CAGL0A04477g","glabrata","CAGL0A04477g","CAGL0","original","","N1.HOG0000665","OG0000439"
"CAGL0A04499g","glabrata","CAGL0A04499g","CAGL0","original","","N1.HOG0002030","OG0001790"
"CAGL0A04521g","glabrata","CAGL0A04521g","CAGL0","original","","N1.HOG0001138","OG0000899"
"CAGL0A04543g","glabrata","CAGL0A04543g","CAGL0","original","","N1.HOG0004204","OG0003967"
"CAGL0A04565g","glabrata","CAGL0A04565g","CAGL0","original","SWI4","N1.HOG0003973","OG0003734"
"CAGL0A04587g","glabrata","CAGL0A04587g","CAGL0","original","","N1.HOG0002923","OG0002683"
"CAGL0A04631g","glabrata","CAGL0A04631g","CAGL0","original","","N1.HOG0004455","OG0004219"
"CAGL0A04653g","glabrata","CAGL0A04653g","CAGL0","original","","N1.HOG0002507","OG0002267"
"CAGL0A04675g","glabrata","CAGL0A04675g","CAGL0","original","","N1.HOG0003805","OG0003566"
"CAGL0A04697g","glabrata","CAGL0A04697g","CAGL0","original","","N1.HOG0003215","OG0002975"
"CAGL0A04719g","glabrata","CAGL0A04719g","CAGL0","original","","N1.HOG0001765","OG0001525"
"CAGL0A04741g","glabrata","CAGL0A04741g","CAGL0","original","","N1.HOG0001467","OG0001227"
"CAGL0A04785g","glabrata","CAGL0A04785g","CAGL0","original","RTG2","N1.HOG0004307","OG0004070"
"CAGL0A04807g","glabrata","CAGL0A04807g","CAGL0","original","","N1.HOG0002185","OG0001945"
"CAGL0A04829g","glabrata","CAGL0A04829g","CAGL0","original","","N1.HOG0000736","OG0000506"
"CAGL0B00264g","glabrata","CAGL0B00264g","CAGL0","original","","N1.HOG0004309","OG0004072"
"CAGL0B00286g","glabrata","CAGL0B00286g","CAGL0","original","","N1.HOG0000357","OG0000202"
"CAGL0B00308g","glabrata","CAGL0B00308g","CAGL0","original","","N1.HOG0004456","OG0004220"
"CAGL0B00330g","glabrata","CAGL0B00330g","CAGL0","original","","N1.HOG0002460","OG0002220"
"CAGL0B00352g","glabrata","CAGL0B00352g","CAGL0","original","","N1.HOG0002607","OG0002367"
"CAGL0B00374g","glabrata","CAGL0B00374g","CAGL0","original","","N1.HOG0005534","OG0005357"
"CAGL0B00396g","glabrata","CAGL0B00396g","CAGL0","original","","N1.HOG0002290","OG0002050"
"CAGL0B00418g","glabrata","CAGL0B00418g","CAGL0","original","","N1.HOG0002153","OG0001913"
"CAGL0B00440g","glabrata","CAGL0B00440g","CAGL0","original","","N1.HOG0004021","OG0003782"
"CAGL0B00462g","glabrata","CAGL0B00462g","CAGL0","original","","N1.HOG0000709","OG0000480"
"CAGL0B00484g","glabrata","CAGL0B00484g","CAGL0","original","","N1.HOG0002878","OG0002638"
"CAGL0B00506g","glabrata","CAGL0B00506g","CAGL0","original","","N1.HOG0002808","OG0002568"
