Bin index,yH299-parent-pool3,yH299-parent-pool3 rank
CP048240.1-83,9,1106
CP048240.1-84,32,508
CP048240.1-85,20,804
CP048240.1-86,26,631
CP048240.1-87,33,492
CP048240.1-88,75,114
CP048240.1-89,17,876
CP048240.1-90,9,1107
CP048240.1-91,28,587
CP048240.1-92,11,1054
CP048240.1-93,27,606
CP048240.1-94,5,1186
CP048240.1-95,21,775
CP048240.1-96,7,1148
CP048240.1-97,26,632
CP048240.1-98,13,996
CP048240.1-99,24,688
CP048240.1-100,11,1055
CP048240.1-101,7,1149
CP048240.1-102,7,1150
CP048240.1-103,26,633
CP048240.1-104,33,493
CP048240.1-105,21,776
CP048240.1-106,45,319
CP048240.1-107,50,271
CP048240.1-108,5,1187
CP048240.1-109,16,917
CP048240.1-110,14,972
CP048240.1-111,51,256
CP048240.1-112,26,634
CP048240.1-113,14,973
CP048240.1-114,4,1201
CP048240.1-115,56,221
CP048240.1-116,25,657
CP048240.1-117,50,272
CP048240.1-118,27,607
CP048240.1-119,15,944
CP048240.1-120,30,540
CP048240.1-121,14,974
CP048240.1-122,15,945
CP048240.1-123,18,846
CP048240.1-124,18,847
CP048240.1-125,18,848
CP048240.1-126,57,216
CP048240.1-127,49,284
CP048240.1-128,18,849
CP048240.1-129,38,416
CP048240.1-130,8,1129
CP048241.1-0,6,1166
CP048241.1-1,9,1108
CP048241.1-2,31,522
CP048241.1-3,24,689
CP048241.1-4,38,417
CP048241.1-5,27,608
CP048241.1-6,17,877
CP048241.1-7,54,235
CP048241.1-8,6,1167
CP048241.1-9,58,203
CP048241.1-10,17,878
CP048241.1-11,67,142
CP048241.1-12,13,997
CP048241.1-13,6,1168
CP048241.1-14,21,777
CP048241.1-15,24,690
CP048241.1-16,12,1027
CP048241.1-17,7,1151
CP048241.1-18,73,125
CP048241.1-19,4,1202
CP048241.1-20,4,1203
CP048241.1-21,10,1080
CP048241.1-22,78,102
CP048241.1-23,7,1152
CP048241.1-24,18,850
CP048241.1-25,17,879
CP048241.1-26,6,1169
CP048241.1-27,17,880
CP048241.1-28,12,1028
CP048241.1-29,20,805
CP048241.1-30,10,1081
CP048241.1-31,7,1153
CP048241.1-32,10,1082
CP048241.1-33,32,509
CP048241.1-34,15,946
CP048241.1-35,58,204
CP048241.1-36,22,750
CP048241.1-37,22,751
CP048241.1-38,41,371
CP048241.1-39,21,778
CP048241.1-40,22,752
CP048241.1-41,3,1215
CP048241.1-42,24,691
CP048241.1-43,13,998
CP048241.1-44,39,401
CP048241.1-45,38,418
CP048241.1-46,36,443
CP048241.1-47,49,285
CP048241.1-48,29,565
CP048241.1-49,42,352
CP048241.1-50,34,476
CP048241.1-51,23,723
CP048241.1-52,7,1154
CP048241.1-53,9,1109
CP048241.1-54,37,430
CP048241.1-55,21,779
CP048241.1-56,13,999
CP048241.1-57,35,461
CP048241.1-58,25,658
CP048241.1-59,21,780
CP048241.1-60,18,851
CP048241.1-61,42,353
CP048241.1-62,19,826
CP048241.1-63,17,881
CP048241.1-64,28,588
CP048241.1-65,23,724
CP048241.1-66,40,384
CP048241.1-67,29,566
CP048241.1-68,61,182
CP048241.1-69,44,332
CP048241.1-70,14,975
CP048241.1-71,11,1056
CP048241.1-72,20,806
CP048241.1-73,21,781
CP048241.1-74,37,431
CP048241.1-75,40,385
CP048241.1-76,34,477
CP048241.1-77,13,1000
CP048241.1-78,40,386
CP048241.1-79,66,146
CP048241.1-80,4,1204
CP048241.1-81,20,807
CP048241.1-82,9,1110
