Standard name,Common name,Type,Lib yH298-parent-pool1
GWK60_C02563,GWK60_C02563,ORF,4
GWK60_C02585,GWK60_C02585,ORF,9
GWK60_C02607,GWK60_C02607,ORF,0
GWK60_C02629,GWK60_C02629,ORF,1
GWK60_C02651,GWK60_C02651,ORF,1
GWK60_C02673,GWK60_C02673,ORF,0
GWK60_C02717,GWK60_C02717,ORF,11
GWK60_C02739,GWK60_C02739,ORF,0
GWK60_C02783,GWK60_C02783,ORF,0
GWK60_C02805,GWK60_C02805,ORF,20
GWK60_C02827,GWK60_C02827,ORF,8
GWK60_C02849,GWK60_C02849,ORF,32
GWK60_C02871,FPS1,ORF,5
GWK60_C02893,YBT1,ORF,10
GWK60_C02915,GWK60_C02915,ORF,1
GWK60_C02937,GWK60_C02937,ORF,3
GWK60_C02959,GWK60_C02959,ORF,1
GWK60_C02981,GWK60_C02981,ORF,0
GWK60_C03003,POP2,ORF,1
GWK60_C03025,GWK60_C03025,ORF,6
GWK60_C03047,LYS9,ORF,2
GWK60_C03069,GWK60_C03069,ORF,2
GWK60_C03091,GWK60_C03091,ORF,4
GWK60_C03113,GWK60_C03113,ORF,5
GWK60_C03135,GWK60_C03135,ORF,1
GWK60_C03157,GWK60_C03157,ORF,7
GWK60_C03179,GWK60_C03179,ORF,5
GWK60_C03201,ABP1,ORF,6
GWK60_C03223,TUP1,ORF,5
GWK60_C03245,GWK60_C03245,ORF,0
GWK60_C03267,GWK60_C03267,ORF,5
GWK60_C03289,GWK60_C03289,ORF,2
GWK60_C03311,GWK60_C03311,ORF,4
GWK60_C03355,GWK60_C03355,ORF,5
GWK60_C03377,GWK60_C03377,ORF,37
GWK60_C03399,GWK60_C03399,ORF,1
GWK60_C03443,GWK60_C03443,ORF,6
GWK60_C03465,GWK60_C03465,ORF,5
GWK60_C03487,TIR3,ORF,2
GWK60_C03509,GWK60_C03509,ORF,11
GWK60_C03531,GWK60_C03531,ORF,10
GWK60_C03553,GWK60_C03553,ORF,6
GWK60_C03575,GWK60_C03575,ORF,5
GWK60_C03597,GWK60_C03597,ORF,10
GWK60_C03641,TRP1,ORF,6
GWK60_C03663,HHT2,ORF,1
GWK60_C03685,GWK60_C03685,ORF,1
GWK60_C03707,GWK60_C03707,ORF,8
GWK60_C03729,GWK60_C03729,ORF,10
GWK60_C03751,GWK60_C03751,ORF,2
GWK60_C03773,GWK60_C03773,ORF,0
GWK60_C03795,GWK60_C03795,ORF,11
GWK60_C03817,GWK60_C03817,ORF,0
GWK60_C03839,GWK60_C03839,ORF,0
GWK60_C03861,GWK60_C03861,ORF,50
GWK60_C03883,GWK60_C03883,ORF,13
GWK60_C03905,GWK60_C03905,ORF,6
