Bin index,yH298-parent-pool2_normalized,yH298-parent-pool2_normalized rank
CP048239.1-51,28,959
CP048239.1-52,1,1245
CP048239.1-53,21,1062
CP048239.1-54,27,977
CP048239.1-55,57,579
CP048239.1-56,12,1162
CP048239.1-57,17,1115
CP048239.1-58,13,1154
CP048239.1-59,49,673
CP048239.1-60,75,416
CP048239.1-61,79,387
CP048239.1-62,49,674
CP048239.1-63,4,1218
CP048239.1-64,47,703
CP048239.1-65,79,388
CP048239.1-66,36,850
CP048239.1-67,26,992
CP048239.1-68,48,690
CP048239.1-69,17,1116
CP048239.1-70,28,960
CP048239.1-71,43,758
CP048239.1-72,86,339
CP048239.1-73,81,368
CP048239.1-74,27,978
CP048239.1-75,38,823
CP048239.1-76,60,548
CP048239.1-77,41,789
CP048239.1-78,27,979
CP048239.1-79,27,980
CP048239.1-80,22,1046
CP048239.1-81,27,981
CP048239.1-82,10,1179
CP048239.1-83,22,1047
CP048239.1-84,49,675
CP048239.1-85,7,1204
CP048239.1-86,75,417
CP048239.1-87,68,468
CP048239.1-88,33,887
CP048239.1-89,33,888
CP048239.1-90,39,810
CP048239.1-91,27,982
CP048239.1-92,19,1088
CP048239.1-93,26,993
CP048239.1-94,61,535
CP048239.1-95,87,332
CP048239.1-96,35,865
CP048239.1-97,9,1187
CP048239.1-98,26,994
CP048239.1-99,42,775
CP048239.1-100,61,536
CP048239.1-101,75,418
CP048239.1-102,32,907
CP048239.1-103,39,811
CP048239.1-104,20,1078
CP048239.1-105,45,730
CP048239.1-106,60,549
CP048239.1-107,14,1147
CP048239.1-108,19,1089
CP048239.1-109,21,1063
CP048239.1-110,29,951
CP048239.1-111,33,889
CP048239.1-112,60,550
CP048239.1-113,42,776
CP048239.1-114,33,890
CP048239.1-115,29,952
CP048239.1-116,35,866
CP048239.1-117,52,641
CP048239.1-118,68,469
CP048239.1-119,75,419
CP048239.1-120,27,983
CP048239.1-121,15,1135
CP048239.1-122,1,1246
CP048239.1-123,0,1262
CP048239.1-124,3,1226
CP048240.1-0,1,1247
CP048240.1-1,2,1233
CP048240.1-2,67,481
CP048240.1-3,120,176
CP048240.1-4,62,521
CP048240.1-5,10,1180
CP048240.1-6,79,389
CP048240.1-7,115,191
CP048240.1-8,56,590
CP048240.1-9,57,580
CP048240.1-10,26,995
CP048240.1-11,63,510
CP048240.1-12,42,777
CP048240.1-13,30,937
CP048240.1-14,109,211
CP048240.1-15,71,449
CP048240.1-16,64,502
CP048240.1-17,67,482
CP048240.1-18,110,207
CP048240.1-19,144,117
CP048240.1-20,82,362
CP048240.1-21,62,522
CP048240.1-22,80,379
CP048240.1-23,109,212
CP048240.1-24,164,82
CP048240.1-25,330,10
CP048240.1-26,285,18
CP048240.1-27,320,12
CP048240.1-28,202,51
CP048240.1-29,222,41
CP048240.1-30,96,278
CP048240.1-31,103,239
CP048240.1-32,98,269
CP048240.1-33,81,369
CP048240.1-34,155,93
CP048240.1-35,19,1090
CP048240.1-36,47,704
CP048240.1-37,110,208
CP048240.1-38,97,273
CP048240.1-39,100,255
CP048240.1-40,165,80
CP048240.1-41,85,349
CP048240.1-42,68,470
CP048240.1-43,51,651
CP048240.1-44,65,495
CP048240.1-45,91,303
CP048240.1-46,58,562
CP048240.1-47,63,511
CP048240.1-48,79,390
CP048240.1-49,34,881
CP048240.1-50,66,489
CP048240.1-51,46,717
CP048240.1-52,47,705
CP048240.1-53,66,490
CP048240.1-54,6,1212
CP048240.1-55,28,961
CP048240.1-56,109,213
CP048240.1-57,94,287
CP048240.1-58,78,395
CP048240.1-59,43,759
CP048240.1-60,56,591
CP048240.1-61,77,404
CP048240.1-62,18,1103
CP048240.1-63,35,867
CP048240.1-64,38,824
CP048240.1-65,54,618
CP048240.1-66,23,1031
CP048240.1-67,46,718
CP048240.1-68,33,891
CP048240.1-69,41,790
