feature_id,sample,condition,background,pool,reads,total_feature_reads,cpm
GWK60_A00869,yH298-H2O2-treated-facs-pool2,treated,yH298,2,0,2101,0
GWK60_A00869,yH298-parent-pool1,parent,yH298,1,0,2000,0
GWK60_A00869,yH298-parent-pool2,parent,yH298,2,0,2013,0
GWK60_A00869,yH299-H2O2-treated-facs-pool3,treated,yH299,3,0,2012,0
GWK60_A00869,yH299-H2O2-treated-facs-pool4,treated,yH299,4,0,2244,0
GWK60_A00869,yH299-parent-pool3,parent,yH299,3,0,2117,0
GWK60_A00869,yH299-parent-pool4,parent,yH299,4,0,1572,0
GWK60_A00891,yH298-H2O2-treated-facs-pool1,treated,yH298,1,24,1828,13129.10284463895
GWK60_A00891,yH298-H2O2-treated-facs-pool2,treated,yH298,2,10,2101,4759.63826749167
GWK60_A00891,yH298-parent-pool1,parent,yH298,1,17,2000,8500
GWK60_A00891,yH298-parent-pool2,parent,yH298,2,16,2013,7948.335817188276
GWK60_A00891,yH299-H2O2-treated-facs-pool3,treated,yH299,3,14,2012,6958.250497017893
GWK60_A00891,yH299-H2O2-treated-facs-pool4,treated,yH299,4,14,2244,6238.859180035651
GWK60_A00891,yH299-parent-pool3,parent,yH299,3,18,2117,8502.598016060461
GWK60_A00891,yH299-parent-pool4,parent,yH299,4,20,1572,12722.646310432568
GWK60_A00913,yH298-H2O2-treated-facs-pool1,treated,yH298,1,0,1828,0
GWK60_A00913,yH298-H2O2-treated-facs-pool2,treated,yH298,2,1,2101,475.963826749167
GWK60_A00913,yH298-parent-pool1,parent,yH298,1,0,2000,0
GWK60_A00913,yH298-parent-pool2,parent,yH298,2,0,2013,0
GWK60_A00913,yH299-H2O2-treated-facs-pool3,treated,yH299,3,0,2012,0
GWK60_A00913,yH299-H2O2-treated-facs-pool4,treated,yH299,4,0,2244,0
GWK60_A00913,yH299-parent-pool3,parent,yH299,3,0,2117,0
GWK60_A00913,yH299-parent-pool4,parent,yH299,4,0,1572,0
GWK60_A00935,yH298-H2O2-treated-facs-pool1,treated,yH298,1,0,1828,0
GWK60_A00935,yH298-H2O2-treated-facs-pool2,treated,yH298,2,0,2101,0
